"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.071760500E-2,-1.334387064E-2,7.346296310E-2,-2.372608185E-1,2.487319075E-1
2.874372800E-2,-1.582980156E-1,2.378056049E-1,-4.602470398E-1,5.416983525E-1
3.670881600E-2,-4.564075768E-1,2.540094852E-1,-2.390499115E-1,5.744332467E-1
4.473493900E-2,-6.330013275E-1,1.984219551E-1,1.038761139E-1,6.714552851E-1
5.270002700E-2,-5.160945654E-1,8.969736099E-2,3.611602783E-1,6.362672109E-1
6.069563300E-2,-3.175455332E-1,2.717685699E-2,4.371681213E-1,5.410080531E-1
6.866072100E-2,-1.858757585E-1,-1.668596268E-2,3.753213882E-1,4.191591147E-1
7.668684400E-2,-1.917810142E-1,-1.140236855E-2,2.595672607E-1,3.229320892E-1
8.471296700E-2,-2.265745103E-1,-2.251148224E-3,1.378126144E-1,2.652044364E-1
9.270857200E-2,-2.323483825E-1,5.823373795E-3,7.882213593E-2,2.454233315E-1
1.006736600E-1,-2.006652057E-1,-1.113486290E-2,4.262924194E-2,2.054452779E-1
1.086387480E-1,-1.409893483E-1,-2.783346176E-2,3.366661072E-2,1.476012825E-1
1.166648710E-1,-1.064725593E-1,-3.123307228E-2,6.994247437E-2,1.311634873E-1
1.245994410E-1,-9.221322089E-2,-2.003145218E-2,9.124469757E-2,1.312635975E-1
1.326255640E-1,-8.630834520E-2,-7.215499878E-3,1.236057281E-1,1.509290228E-1
1.406211700E-1,-8.375586569E-2,1.109123230E-3,1.505832672E-1,1.723124939E-1
1.485557400E-1,-6.598366052E-2,8.915662766E-3,1.247520447E-1,1.414086459E-1
1.565818630E-1,-5.097275972E-2,2.116370201E-2,1.361074448E-1,1.468719205E-1
1.645774690E-1,-4.684387892E-2,1.296448708E-2,1.139135361E-1,1.238495887E-1
1.725730740E-1,-3.978678212E-2,2.488279343E-2,1.179914474E-1,1.269807982E-1
1.805686800E-1,-1.918844879E-2,2.589082718E-2,1.141681671E-1,1.186292623E-1
1.885642850E-1,-1.523654535E-2,2.571535110E-2,1.565179825E-1,1.593465106E-1
1.965293730E-1,-6.376549602E-3,1.204037666E-2,1.214838028E-1,1.222454310E-1
2.045554960E-1,-2.459887415E-3,2.627015114E-2,7.286930084E-2,7.749907672E-2
2.125205840E-1,-7.962193340E-3,7.011890411E-3,-2.069473267E-3,1.080952587E-2
2.204856720E-1,-3.811299801E-3,1.004648209E-2,-3.848838806E-2,3.996015295E-2
2.285117950E-1,-2.101818100E-2,1.539945602E-3,-2.210998535E-2,3.054483290E-2
2.365074000E-1,-3.289740533E-2,-6.607055664E-3,5.662345886E-2,6.581875535E-2
2.445030060E-1,-2.812200785E-2,-2.430200577E-2,1.474084854E-1,1.520220260E-1
2.524680940E-1,-1.790924370E-2,-3.346538544E-2,2.210674286E-1,2.243022091E-1
2.604636990E-1,-9.900905192E-3,-3.162384033E-2,2.800874710E-1,2.820409307E-1
2.684898220E-1,-9.424246848E-3,-1.652359962E-2,2.693586349E-1,2.700294799E-1
2.764549100E-1,2.506151795E-4,-1.419925690E-2,1.865758896E-1,1.871155907E-1
2.844505150E-1,1.922793686E-2,9.691953659E-3,7.267379761E-2,7.579662513E-2
2.924156030E-1,-1.221795380E-2,1.036930084E-2,-4.820251465E-2,5.079648820E-2
3.003806910E-1,-2.669593692E-2,2.430009842E-2,-1.016759872E-1,1.078942733E-1
3.084068140E-1,-3.387828916E-2,2.568197250E-2,-1.036272049E-1,1.120084809E-1
3.164024200E-1,-5.033285171E-2,2.324938774E-2,-1.299724579E-1,1.413038209E-1
3.243980250E-1,-4.946681112E-2,1.220583916E-2,-6.027126312E-2,7.892130936E-2
3.323325960E-1,-4.797573388E-2,-1.008129120E-2,1.197729111E-1,1.294173624E-1
3.403282010E-1,-4.421783984E-2,-3.776526451E-2,3.786544800E-1,3.830935235E-1
3.483543240E-1,-1.990901679E-2,-5.525231361E-2,4.359130859E-1,4.398515722E-1
3.563194120E-1,1.299139857E-2,-7.924652100E-2,3.609952927E-1,3.698194003E-1
3.643150170E-1,5.838488042E-2,-5.421090126E-2,1.899414062E-1,2.059741583E-1
3.722801050E-1,6.399732828E-2,-6.055736542E-2,4.444122314E-3,8.821906119E-2
3.802757110E-1,5.983871594E-2,-6.802201271E-2,-1.735115051E-1,1.957393894E-1
3.882713160E-1,2.062246203E-2,-7.388520241E-2,-2.576322556E-1,2.688097621E-1
3.962669220E-1,-1.921810955E-2,-8.977484703E-2,-2.143020630E-1,2.331399432E-1
4.042320100E-1,-5.746763200E-2,-9.961581230E-2,-3.174209595E-2,1.193038115E-1
4.122276150E-1,-4.454678297E-2,-9.512090683E-2,1.747570038E-1,2.038931415E-1
4.201927030E-1,-1.464683935E-2,-7.546663284E-2,3.305301666E-1,3.393522265E-1
4.282188260E-1,1.232356951E-2,-4.369735718E-2,3.348283768E-1,3.378925440E-1
4.362144310E-1,3.183943778E-2,-6.540536880E-3,2.500343323E-1,2.521382473E-1
4.442100370E-1,2.294683084E-2,2.945661545E-2,1.409778595E-1,1.458389732E-1
