"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.745595500E-2,-4.298555851E-2,6.785240173E-1,2.154028416E-1,7.131907070E-1
2.545156100E-2,-1.776841283E-1,7.703409195E-1,-6.155133247E-2,7.929598655E-1
3.347768400E-2,-1.111450791E-1,6.831274033E-1,-6.223292351E-1,9.307577314E-1
4.147328900E-2,-1.576524377E-1,4.565668106E-1,-9.507567883E-1,1.066417373E0
4.943837700E-2,-3.430185914E-1,4.442148209E-1,-1.100735664E0,1.235559616E0
5.746450000E-2,-6.574606299E-1,6.273965836E-1,-1.254224420E0,1.548857594E0
6.546010600E-2,-8.068264127E-1,7.322111130E-1,-1.348496675E0,1.733650847E0
7.342519300E-2,-8.491989374E-1,7.143726349E-1,-1.171267152E0,1.613484998E0
8.145131600E-2,-6.891956329E-1,6.706609726E-1,-1.058200121E0,1.429882602E0
8.941640400E-2,-6.531850100E-1,6.318521500E-1,-8.919609785E-1,1.273374330E0
9.744252700E-2,-5.192792416E-1,5.874891281E-1,-5.093390942E-1,9.349977108E-1
1.054381330E-1,-2.301194668E-1,3.768453598E-1,-1.980166435E-1,4.839193996E-1
1.134337380E-1,9.112203121E-2,5.319023132E-2,7.086932659E-2,1.271018754E-1
1.213988260E-1,3.707104921E-1,-2.797098160E-1,3.245409727E-1,5.665604055E-1
1.293944320E-1,4.558777213E-1,-4.766912460E-1,3.886258602E-1,7.655645630E-1
1.374205550E-1,4.071810842E-1,-5.945510864E-1,4.849060774E-1,8.685743109E-1
1.454161600E-1,3.614490628E-1,-5.168056488E-1,3.192256689E-1,7.068511380E-1
1.534117660E-1,1.971287727E-1,-3.771171570E-1,-4.008376598E-2,4.274152681E-1
1.613768540E-1,3.526890278E-2,-2.359542847E-1,-1.328744888E-1,2.730823131E-1
1.693724590E-1,-2.957773209E-2,-1.815881729E-1,-9.389424324E-2,2.065556479E-1
1.773375470E-1,-2.895474434E-2,-2.288284302E-1,-7.032036781E-3,2.307602158E-1
1.853331520E-1,1.939452291E-1,-3.376131058E-1,-4.105043411E-2,3.915130894E-1
1.933287580E-1,3.418298960E-1,-4.066019058E-1,2.042615414E-2,5.315919632E-1
2.013243630E-1,3.977807760E-1,-4.849119186E-1,2.866276503E-1,6.895828627E-1
2.093199690E-1,3.014820814E-1,-3.812990189E-1,1.601533890E-1,5.117904798E-1
2.172850570E-1,1.438022852E-1,-2.924423218E-1,4.113078117E-3,3.259118381E-1
2.252806620E-1,1.020382643E-1,-2.598485947E-1,-4.625844955E-2,2.829716305E-1
2.332762680E-1,1.457840204E-2,-1.556797028E-1,-1.187936068E-1,1.963685837E-1
2.413023910E-1,-1.351047754E-1,4.016780853E-2,-1.127033234E-1,1.804682584E-1
2.492979960E-1,-2.522677779E-1,2.375717163E-1,-1.078696251E-1,3.629258990E-1
2.572630840E-1,-3.468390107E-1,4.683618546E-1,-2.928422689E-1,6.522397723E-1
2.652586900E-1,-4.845948219E-1,6.804265976E-1,-4.227591753E-1,9.362359833E-1
2.732542950E-1,-6.055833101E-1,8.297262192E-1,-4.375452995E-1,1.116522563E0
2.812804180E-1,-6.326893568E-1,8.988075256E-1,-2.410175800E-1,1.125273418E0
2.892760240E-1,-5.264602900E-1,8.587369919E-1,-5.239009857E-2,1.008629952E0
2.972411110E-1,-3.047175407E-1,7.117948532E-1,1.176601648E-1,7.831657596E-1
3.052061990E-1,-1.302623749E-1,4.650430679E-1,3.329555988E-1,5.865942142E-1
3.132018050E-1,-6.315994263E-2,2.321653366E-1,5.293956995E-1,5.815064303E-1
