"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.160719500E-2,-1.488998532E-3,-3.513717651E-2,1.242752075E-1
2.960280000E-2,-2.664229274E-2,-1.734972000E-2,1.389427185E-1
3.960280000E-2,-3.982412815E-2,-9.140253067E-3,1.392459869E-1
4.960280000E-2,-1.961013675E-2,-1.061606407E-2,1.410703659E-1
5.960280000E-2,-8.859157562E-3,-1.199173927E-2,1.437654495E-1
6.960280000E-2,-7.555037737E-4,-6.308317184E-3,6.714916229E-2
7.960280000E-2,-1.155136526E-2,2.344441414E-2,-6.770133972E-3
8.960280000E-2,-1.529784501E-2,2.986979485E-2,-7.164287567E-2
9.960280000E-2,-4.508805275E-2,1.474571228E-2,-6.520557404E-2
1.096028000E-1,-5.021810532E-2,9.725809097E-3,1.221151352E-1
1.196028000E-1,-4.593260586E-2,-8.989810944E-3,2.017765045E-1
1.296028000E-1,-3.064334393E-2,-2.611637115E-3,2.374420166E-1
1.396028000E-1,8.428454399E-3,-4.837989807E-3,2.359991074E-1
1.496028000E-1,2.154469490E-3,-2.425122261E-2,1.364326477E-1
1.596028000E-1,-1.131448150E-2,-2.175426483E-2,8.071422577E-2
1.696028000E-1,2.826273441E-3,-1.370072365E-2,-3.542900085E-3
1.796028000E-1,2.120961249E-2,1.447486877E-2,-8.275699615E-2
1.896028000E-1,2.007561922E-2,3.103041649E-2,-1.804208755E-1
1.996028000E-1,2.845482528E-2,4.818201065E-2,-1.078548431E-1
2.096028000E-1,-1.789376140E-2,4.079484940E-2,6.976222992E-2
2.196028000E-1,-2.620649338E-2,1.730108261E-2,2.791328430E-1
2.296028000E-1,2.177637815E-2,-2.988409996E-2,3.507366180E-1
2.396028000E-1,6.921458244E-2,-4.657793045E-2,2.046995163E-1
2.496028000E-1,4.589600861E-2,-5.904054642E-2,5.129814148E-3
2.596028000E-1,4.634512961E-2,-6.445288658E-2,-1.749649048E-1
2.696028000E-1,-1.817852259E-3,-7.961297035E-2,-1.725997925E-1
2.796028000E-1,-2.720609307E-3,-1.000385284E-1,-1.296806335E-2
2.896028000E-1,4.059970379E-4,-9.920525551E-2,1.636266708E-1
2.996028000E-1,7.313743234E-3,-6.151413918E-2,2.797021866E-1
3.096028000E-1,8.913606405E-2,-6.843566895E-3,1.956739426E-1
3.196028000E-1,7.642142475E-2,7.875204086E-3,1.048116684E-1
3.296028000E-1,4.299590737E-2,1.568198204E-2,3.318786621E-2
3.396028000E-1,-2.870495617E-2,2.441859245E-2,3.364753723E-2
3.496028000E-1,-2.348260581E-2,1.670646667E-2,6.664657593E-2
3.596028000E-1,1.023602486E-2,1.948833466E-3,9.181022644E-2
3.696028000E-1,2.470833063E-2,-1.027798653E-2,1.146183014E-1
3.796028000E-1,2.982825786E-2,-2.497029305E-2,1.230459213E-1
3.896028000E-1,-4.421591759E-3,-5.138134956E-2,7.716464996E-2
3.996028000E-1,-1.515110582E-2,-4.832386971E-2,6.367015839E-2
4.096028000E-1,-3.792236000E-2,-5.266618729E-2,3.574943542E-2
4.196028000E-1,-5.811250210E-2,-3.523468971E-2,4.141521454E-2
4.296028000E-1,-6.243470311E-2,-1.677489281E-2,5.285072327E-2
4.396028000E-1,-5.520591140E-2,-1.565480232E-2,6.823825836E-2
4.496028000E-1,-4.736575484E-2,-9.717702866E-3,1.051921844E-1
4.596028000E-1,-2.253048122E-2,-8.595705032E-3,1.158084869E-1
4.696028000E-1,-1.622402668E-2,9.968757629E-3,1.225547791E-1
4.796028000E-1,-3.496904671E-2,-1.076221466E-2,9.956455231E-2
4.896028000E-1,-4.721949995E-2,-2.397155762E-2,6.229782104E-2
4.996028000E-1,-3.888270259E-2,-4.177689552E-2,1.759061813E-1
5.096028000E-1,-3.888270259E-2,-4.177689552E-2,1.759061813E-1
5.196028000E-1,-4.159976542E-2,-4.633212090E-2,7.848167419E-2
5.296028000E-1,-3.292545676E-3,-3.436112404E-2,3.299140930E-2
5.396028000E-1,2.064947784E-2,-5.590891838E-2,2.580928802E-2
5.496028000E-1,1.235558093E-2,-6.229972839E-2,1.095199585E-1
5.596028000E-1,1.801423728E-2,-5.180144310E-2,1.463994980E-1
5.696028000E-1,2.306570113E-2,-6.069898605E-2,1.041936874E-1
5.796028000E-1,1.101876795E-2,-5.290150642E-2,8.351230621E-2
5.896028000E-1,-1.449826360E-2,-5.593299866E-3,6.384658813E-2
5.996028000E-1,-1.449826360E-2,-5.593299866E-3,6.384658813E-2
6.096028000E-1,-8.085015416E-2,8.555293083E-2,8.749580383E-2
6.196028000E-1,-8.085015416E-2,8.555293083E-2,8.749580383E-2
6.296028000E-1,-8.085015416E-2,8.555293083E-2,8.749580383E-2
6.396028000E-1,3.560981154E-2,-3.060317039E-2,1.080207825E-1
6.496028000E-1,1.410467923E-2,-3.710174561E-2,1.232852936E-1
6.596028000E-1,-6.708458066E-3,-5.373358727E-2,1.096677780E-1
6.696028000E-1,-7.756352425E-4,-5.094933510E-2,8.796024323E-2
6.796028000E-1,-1.035243273E-2,-4.855513573E-2,7.838344574E-2
6.896028000E-1,-2.954028547E-2,-3.625869751E-2,8.875656128E-2
6.996028000E-1,-4.656463861E-2,-4.065752029E-2,8.956909180E-2
7.096028000E-1,-4.656463861E-2,-4.065752029E-2,8.956909180E-2
7.196028000E-1,-4.333665967E-2,-3.171157837E-2,1.065788269E-1
7.296028000E-1,-3.340145946E-2,-3.551840782E-2,9.082126617E-2
7.396028000E-1,-4.294775426E-2,-4.648256302E-2,5.591297150E-2
7.496028000E-1,-2.966664732E-2,-3.628516197E-2,7.927894592E-3
7.596028000E-1,-3.025308251E-2,-4.894757271E-2,1.631546021E-2
7.696028000E-1,-2.602589130E-2,-4.963970184E-2,6.540870667E-2
7.796028000E-1,-2.131465077E-2,-5.305981636E-2,1.168050766E-1
